"predictions","variance.estimates","debiased.error","sigma_hat","prediction_lo","prediction_hi","t_stat","pval_one_neg","pval_one_pos","row_id","draw"
-0.230533868242066,0.00249397336386191,0.00258571184490989,0.049939697274432,-0.328415674899952,-0.132652061584179,-4.6162448077172,1.95372991708297e-06,0.999998046270083,934,1
-0.191491637124232,0.00435721248506458,0.0201225598531664,0.0660091848538109,-0.320869639437702,-0.0621136348107629,-2.90098472732733,0.00185996004157057,0.998140039958429,138,2
-0.302136504481244,0.00458999127489085,0.00185827127578003,0.0677494743513989,-0.434925474209986,-0.169347534752502,-4.45961400252555,4.10536954873573e-06,0.999995894630451,47,3
-0.131543357083001,0.00373791949064534,4.83532591932101,0.0611385270565569,-0.251374870113853,-0.0117118440521497,-2.15156241761133,0.015715917407144,0.984284082592856,391,4
-0.369012996415029,0.00458705309417038,0.448465562659521,0.067727786721333,-0.501759458388842,-0.236266534441216,-5.44847269161974,2.54020948696518e-08,0.999999974597905,840,5
-0.165823026154954,0.0032372199322995,0.196222680727271,0.0568965722368184,-0.277340307739118,-0.0543057445707897,-2.91446425743813,0.00178149803081518,0.998218501969185,853,6
-0.22877502802306,0.00264177220515979,0.357453036265986,0.0513981731694794,-0.32951544743524,-0.128034608610881,-4.4510342277867,4.27288590796117e-06,0.999995727114092,849,7
-0.170840312532635,0.00389655106385294,0.727104352581162,0.0624223602874238,-0.293188138695986,-0.0484924863692846,-2.73684480602786,0.00310157747050079,0.996898422529499,254,8
-0.160102628501529,0.00468607957350677,0.0179365963858656,0.0684549455737624,-0.294274321826103,-0.0259309351769548,-2.33880294783104,0.00967281704839854,0.990327182951601,360,9
-0.158529710738936,0.00308252422816752,1.03716224502361,0.0555204847616402,-0.267349860871751,-0.0497095606061212,-2.85533729432539,0.00214955722928787,0.997850442770712,190,10
-0.105529753475677,0.00183998722674298,0.507918230228019,0.0428950722897511,-0.189604095163589,-0.0214554117877645,-2.46018360250883,0.00694329773012615,0.993056702269874,490,11
